en,fr,es,de,de-ch,zh-hans,zh-hant,kr,pt,ar,arb,he,heb,da,sv,no,it,nl,jp-unfinished,th-unfinished,hu-unfinished,pl-unfinished,sk-unfinished,el-unfinished,cs-unfinished,ro-unfinished,hi-unfinished,tr-unfinished,ru-unfinished,de-oe unfinished,ca-unfinished,fi-unfinished
Alice,Alice,Alice,Alice,Alice,爱丽丝,愛麗絲,앨리스,Alice,أليس,ﺲﻴﻟﺃ,אליס,סילא,Alice,Alice,Alice,Alice,Alice,アリス,อลิซ,Alice,,,,,,,,Алиса,Alice,Alícia,
Antibes,Antibes,Antibes,Antibes,Antibä,欧洲漫画风,歐洲漫畫風,앙티브,Antibes,منطقة انتيب,ﺐﻴﺘﻧﺍ ﺔﻘﻄﻨﻣ,אנטיב,ביטנא,Antibes,Antibes,Antibes,Antibes,Antibes,アンティーブ,เมืองอองทีปส์ (Antibes),Antibes,,,,,,,,Антиб,Antibes,Antibes,
Aztec,Aztèque,Azteca,Aztekisch,Aztekisch,远古时代,遠古時代,아즈텍,Asteca,أزتيك,ﻚﻴﺗﺯﺃ,אצטק,קטצא,Aztec,Aztek,Aztek,Azteco,Aztecen,アステカ,จักรวรรดิแอซเท็ก (Aztec),Azték,,,,,,,,Ацтеки,Aztekisch,Asteca,
Borg,Borg,Borg,Borg,Borg,未来工业风,未來工業風,앙티브,Borg,بورج,ﺝﺭﻮﺑ,בורג,גרוב,Borg,Borg,Borg,Borg,Borg,ボルグ,หุ่นบอร์ก (Borg),Borg,,,,,,,,Борг,Borg,Borg,
Chalkboard,Tableau noir,Pizarra,Kreidetafel,Wandtafälä,黑板,黑板,칠판,Quadro negro,لوح الطبشور,ﺭﻮﺸﺒﻄﻟﺍ ﺡﻮﻟ,לוח גיר,ריג חול,Kridttavle,Krita,Krittavle,Lavagna,Schoolbord,黒板,กระดานดำ (Chalkboard),Tábla,,,,,,,,Школьная доска,Kreidetofla,Pissarra,
Coins,Pièces de monnaie,Monedas,Münzen,Münzä,钱币,錢幣,동전,Moedas,العملات المعدنية,ﺔﻴﻧﺪﻌﻤﻟﺍ ﺕﻼﻤﻌﻟﺍ,מטבעות,תועבטמ,Mønter,Mynt,Mynter,Monete,Munten,コイン,เหรียญ (Coins),Aprópénz,,,,,,,,Монеты,Kreizar,Monedes,
Comic Superheroes,Superhéros sous caféine,Superhéroes de cómic,Comic-Superhelden,Comic-Superheldä,漫画英雄,漫畫英雄,코믹스 슈퍼히어로,Super-heróis de quadrinhos,الأبطال الخارقون,ﻥﻮﻗﺭﺎﺨﻟﺍ ﻝﺎﻄﺑﻷﺍ,גיבורי על קומיקס,סקימוק לע ירוביג,Tegneserie Superhelte,Superhjältar,Tegneserie Superhelter,Supereroi comici,Stripfiguren,コミック スーパーヒーロー,ซุปเปอร์ฮีโร่ในการ์ตูน (Comic Superheroes),Képregényhősök,,,,,,,,Супергерои из комиксов,Comic-Superhelden,Superherois de còmic,
Constructivism,Constructivisme,Constructivismo,Konstruktivismus,Konstruktivismus,现代工业风,現代工業風,구성주의,Construtivismo,النقد البناء,ﺀﺎﻨﺒﻟﺍ ﺪﻘﻨﻟﺍ,קונסטרוקטיביזם,םזיביטקורטסנוק,Konstruktivisme,Konstruktivism,Konstruktivisme,Costruttivismo,Constructivisme,構成主義,ทฤษฎีการสร้างความรู้ด้วยตนเอง (Constructivism),Konstruktivizmus,,,,,,,,Конструктивизм,Konstruktivismus,Constructivisme,
Croissant,Croissant,Croissant,Croissant,Gipfäli,漫活风,漫活風,크로와상,Croissant,كرواسان,ﻥﺎﺳﺍﻭﺮﻛ,קרואסון,ןוסאורק,Croissant,Croissant,Croissant,Croissant,Croissant,クロワッサン,ครัวซองต์ (Croissant),Croissant,,,,,,,,Круассан,Croissant,Croissant,
Dark Choices,Sombres desseins,Opciones oscuras,Dunkeloptionen,Dunkeloptionä,暗黑系,暗黑系,어두운 분위기,Escolhas sombrias,خيارات داكنة,ﻡﻼﻈﻟﺍ ﺕﺍﺭﺎﻴﺧ,ברירות כהות,תוהכ תורירב,Mørke Valg,Mörka val,Mørke valg,Disegni scuri,Duistere keuzen,ダーク,ตัวเลือกด้านมืด (Dark Choices),Sötét Döntések,,,,,,,,Тёмные варианты,Dunkeloptionen,Opcions fosques,
default,Par défaut,Por defecto,Standard,Standard,基本,基本,기본값,padrão,الإعداد الابتدائي,ﻲﺿﺍﺮﺘﻓﻻﺍ,ברירת מחדל,לדחמ תרירב,Standard,Standard,Standard,Standard,Standaard,デフォルト,ค่าเริ่มต้น,Alap,domyślny,,Προεπιλογή,,,,,по умолчанию,Standard,Valor per defecte,
Diner,Petit resto,Cafetería,Esslokal,Ässlokal,写实日系漫画风,寫實日系漫畫風,식당,Lanchonete,مطعم,ﻢﻌﻄﻣ,מזנון,ןונזמ,Aftensmad,Restaurang,Middag,Trattoria,Diner,ダイナー,ผู้รับประทานอาหาร (Diner),Diner,,,,,,,,Закусочная,Esslokal,Menjador,
Female Manga,Manga féminin,Manga femenino,Weibliches Manga,Wiiblichi Manga,少女风,少女風,여자 만화 캐릭터,Mangá feminino,أنثى مانغا,ﺎﻐﻧﺎﻣ ﻰﺜﻧﺃ,מאגנה נקבה,הבקנ הנגאמ,Feminin Manga,Feminin manga,Feminin Manga,Manga femminile,Vrouwelijke Manga,女性マンガ,การ์ตูนผู้หญิง (Female Manga),Manga Lány,,,,,,,,Женская манга,Weibliches Manga,Manga femení,
Graffiti,Graffiti,Graffiti,Graffiti,Graffiti,街头涂鸦,街頭塗鴉,그레피티,Grafite,رسم الجرافيتي,ﻲﺘﻴﻓﺍﺮﺠﻟﺍ ﻚﺳﺭ,גראפיטי,יטיפארג,Grafitti,Graffiti,Graffiti,Graffiti,Grafitty,グラフィティ,ภาพเขียนบนผนังในที่สาธารณะ (Graffiti),Graffiti,,,,,,,,Граффити,Graffiti,Graffiti,
Greek Renaissance,Renaissance grecque,Renacimiento griego,Griechische Renaissance,Griächischi Renaissance,希腊文艺风,希臘文藝風,그리스 르네상스,Renascença grega,عصر النهضة اليونانية,ﺔﻴﻧﺎﻧﻮﻴﻟﺍ ﺔﻀﻬﻨﻟﺍ ﺮﺼﻋ,רנסנס יווני,ינווי סנסנר,Græsk Renaissance,Grekiska renässansen,Gresk Renessanse,Rinascita greca,Griekse Renaissance,ギリシャルネサンス,ยุคกรีก เรเนซองส์ (Greek Renaissance),Görög Reneszánsz,,,,,,,,Греческий ренессанс,Griechische Renaissance,Reinaixement grec,
green cup,tasse verte,verde,grüne Tasse,grüäni Tassä,绿杯子,綠杯子,초록 바탕 그리고 커피,xícara verde,كوب أخضر,ﺮﻀﺧﺃ ﺏﻮﻛ,ספל ירוק,קורי לפס,grøn kop,grön kopp,grønn kopp,tazza verde,Groen Kopje,グリーンカップ,กรีนคัพ (ถ้วยเขียว),zöld csésze,,,,,,,,зеленая чашка,griane Tasse,Tassa verda,
Green Cups,Tasses sur fond vert,Verde,Grüne Tassen,Grüäni Tassä,绿杯子,綠杯子,초록 바탕 그리고 커피,Xícaras Verdes,أكواب خضراء,ﺀﺍﺮﻀﺧ ﺏﺍﻮﻛﺃ,ספלים ירוקים,םיקורי םילפס,Grønne Kopper,Gröna koppar,Grønne Kopper,Tazze verdi,Groen Kopjes,グリーンカップ,กรีนคัพ (ถ้วยเขียว),Zöld Csészék,,,,,,,,Зеленые чашки,Griane Tasse,Tasses verdes,
Hindu Gods,Divinités hindoues,Dioses hindúes,Hindu-Götter,Hindu-Götter,印度神明,印度神明,힌두 신,Deuses Hindus,الآلهة الهندوسية,ﺔﻴﺳﻭﺪﻨﻬﻟﺍ ﺔﻬﻟﻵﺍ,אלים הינדים,םידניה םילא,Hinduistiske Guder,Hinduiska gudar,Hinduguder,Dei indù,Hindu Goden,ヒンズーゴッド,เทพเจ้าฮินดู (Hindu Gods),Hindu Istenek,,,,,,,,Индуистские боги,Hindu-Götter,Déus hindús,
Ink Comic,Bande dessinée,Tinta de cómic,Comic in Tinte,Comic i Tintä,漫画风,漫畫風,흑백 만화,Quadrinhos em tinta,حبرالكوميكس,ﺲﻜﻴﻣﻮﻜﻟﺍﺮﺒﺣ,Ink (קומיקס),(סקימוק) Ink,Tegneserie Blæk,Tecknad serie,Tegneserie Blekk,Fumetto,INK Comic,インクコミックス,ภาพวาดการ์ตูน (Ink Comic),Ink Comic,,,,,,,,Чернильные комиксы,Comic in Tinte,Tinta de còmic,
Insight,Insight,Insight,Insight,Insight,详尽资料,詳盡資料,실시간 그래프 (화이트),Insight,التوضيح,ﻞﻴﺼﻔﺘﻟﺍ,תובנה,הנבות,Indsigt,Insikt,Innsikt,Insight,Inzicht,インサイト,ข้อมูลเชิงลึก (Insight),Insight,,,,,,,,Интуиция,Einsicht,Visualització,
instrumented,Instrumentation,Instrumentación,Instrumentierung,Inschtrumentiärig,全副武装,全副武裝,악기,instrumentado,المجهزة,ﺓﺰﻬﺠﻤﻟﺍ,מתוזמר,רמזותמ,instrumentering,intrumenterad,instrumentering,Strumentazione,Instrumenteel,楽器,เครื่องดนตรี (instrumented),Instrumented,,,,,,,,Инструментарий,Instrumentierung,instrumentat,
Leonardo,Façon Léonard,Leonardo,Leonardo,Leonardo,莱昂纳多,萊昂納多,레오나르도 다빈치,Leonardo,ليوناردو,ﻭﺩﺭﺎﻧﻮﻴﻟ,ליאונרדו,ודרנואיל,Leonardo,Leonardo,Leonardo,Leonardo,Leonardo,レオナルド,ลีโอนาโด (Leonardo),Leonardo,,,,,,,,Леонардо,Leonardo,Leonardo,
Manga Outfit,Tenue de manga,Manga,Manga-Kleidung,Manga-Gwand,日系漫画风,日系漫畫風,만화 외관,Roupa de mangá,زي الماجنا,ﺎﻨﺟﺎﻤﻟﺍ ﻱﺯ,חליפות מאגנה,הנגאמ תופילח,Manga Tøj,Mangakläder,Manga Klær,Abbigliamento in stile manga,Manga Uitrusting,マンガ風,ชุดตัวการ์ตูน (Manga Outfit),Manga Ruha,,,,,,,,Манга,Manga-Kleidung,Vestit de manga,
Modern,Moderne,Moderno,Modern,Modern,现代风,現代風,모던,Moderno,حديث,ﺚﻳﺪﺣ,מודרני,ינרדומ,Moderne,Modern,Moderne,Moderno,Modern,モダン,สมัยใหม่ (Modern),Modern,,,,,,,,Модерн,Modern,Modern,
Noir,Polar noir et blanc,Negro,Film Noir,Film Noir,黑色电影风,黑色電影風,느와르,Noir,أسود,ﺩﻮﺳﺃ,נואר,ראונ,Film Noir,Film Noir,Film Noir,Giallo in bianco e nero,Zwart,ノワール,นัวร์ (Noir สีดำ),Noir,,,,,,,,Нуар,Film Noir,Negre,
Rodent,Rongeur,Roedor,Nagetiere,Nagetiär,不明生物系列,不明生物系列,설치류,Roedor,قارض,ﺽﺭﺎﻗ,מכרסמים,םימסרכמ,Gnaver,Gnagare,Gnager,Roditore,Knaagdier,げっ歯類,หนู (Rodent),Rágcsáló,,,,,,,,Грызун,Nagetiere,Rossegador,
Roman Gods,Divinités romaines,Dioses romanos,Römische Götter,Römischi Götter,罗马诸神,羅馬諸神,로마 신화,Deuses Romanos,الآلهة الرومانية,ﺔﻴﻧﺎﻣﻭﺮﻟﺍ ﺔﻬﻟﻵﺍ,אלים רומאים,םיאמור םילא,Romerske Guder,Romerska gudar,Romerske Guder,Divinità romane,Romeinse Goden,ローマの神々,เทพเจ้าโรมัน (Roman Gods),Római Istenek,,,,,,,,Римские боги,Römische Götter,Déus romans,
Sci Fi Aliens,Extra-terrestres,Aliens,Außerirdische,Usserirdischi,科幻太空生物,科幻太空生物,공상과학 에일리언,Alieníngenas de ficção científica,المخلوقات الفضائية,ﺔﻴﺋﺎﻀﻔﻟﺍ ﺕﺎﻗﻮﻠﺨﻤﻟﺍ,מדע בדיוני חייזרים,םירזייח ינוידב עדמ,Sci Fi Aliens,Sci-Fi Aliens,Sci Fi Aliens,Alieni,Buitenaardse Wezens,SFエイリアン,มนุษย์ต่างดาวในนิยายวิทยาศาสตร์ (Sci Fi Aliens),Sci-Fi földönkívüliek,,,,,,,,Фантастические пришельцы,Außerirdische,Àliens de ciència ficció,
Slot Machine,Machine à sous,Tragaperras,Spielautomat,Spielautomat,老虎机,老虎機,슬롯머신,Máquina de caça-níquel,ماكينة القمار,ﺭﺎﻤﻘﻟﺍ ﺔﻨﻴﻛﺎﻣ,מכונת היצורים,םירוציה תנוכמ,Spilleautomat,Spelautomat,Spilleautomat,Slot machine,Gok Kast,スロットマシン,สล็อตแมชชีน (Slot Machine),Nyerőgép,,,,,,,,Игровой автомат,Spielautomat,Escurabutxaques,
Steam Punk,Steampunk,Steam Punk,Steampunk,Steampunk,蒸汽怪杰,蒸汽怪傑,스팀펑크,Steampunk,اندفاع البخار,ﺭﺎﺨﺒﻟﺍ ﻉﺎﻓﺪﻧﺍ,Steam Punk,Steam Punk,Steampunk,Steam Punk,Steampunk,Steampunk,Punk,スチームパンク,เครื่องชงสตีมพังค์,Steam Punk,,,,,,,,Стимпанк,Steampunk,Steam Punk,
Superheroes,Superhéros,Superhéroes,Superhelden,Superheldä,超级英雄,超級英雄,슈퍼 히어로,Super-heróis,الأبطال الخارقين,ﻦﻴﻗﺭﺎﺨﻟﺍ ﻝﺎﻄﺑﻷﺍ,גיבורי על,לע ירוביג,Superhelte,Superhjältar,Superhelter,Supereroi,Super Helden,スーパーヒーロー,ซุปเปอร์ฮีโร่ (Superheroes),Szuperhősök,,,,,,,,Супергерои,Superhelden,Superherois,
Tabletop,Dessus de table,Tablero,Tischplatte,Tischplattä,桌面,桌面,테이블,Mesa de jogo,الطاوله,ﻪﻟﻭﺎﻄﻟﺍ,על השולחן,ןחלושה לע,Bordplade,Bordskiva,Bordplate,Tovagliette,Tabletop,テーブルトップ,แบบตั้งโต๊ะ (Tabletop),Asztal,,,,,,,,Стол,Tischplatte,Taula,
Teal Modern,Turquoise moderne,Turquesa moderno,Modernes Türkis,Moderns Türkis,时尚的蓝绿色系,時尚的藍綠色系,청록 모던,Moderno azul-petróleo,تيل حديث,ﻥﺭﺩﻮﻣ ﻞﻴﺗ,ירוק כחלחל מודרני,ינרדומ לחלחכ קורי,Turkis Moderne,Teal Modern,Turkis Moderne,Turchese moderno,Teal Modern,ティールモダン,สีเขียวนกเป็ดน้ำแบบสมัยใหม่ (Teal Modern),Modern pala,,,,,,,,Современный бирюзовый,Modernes Türkis,Verd blavós,
Teal Simple,Turquoise simple,Turquesa simple,Simples Türkis,Eifachs Türkis,简约的蓝绿色系,簡約的藍綠色系,청록,Simples azul-petróleo,تيل بسيطة,ﺔﻄﻴﺴﺑ ﻞﻴﺗ,ירוק כחלחל פשוט,טושפ לחלחכ קורי,Turkis Simpel,Teal Enkel,Turkis Enkel,Turchese semplice,Teal Simple,ティールシンプル,สีเขียวนกเป็ดน้ำแบบธรรมดา (Teal Simple),Egyszerű pala,,,,,,,,Простой бирюзовый,Simples Türkis,Verd blavós senzill,
Three Women,Trois femmes,Tres mujeres,Drei Frauen,Drü Fräuä,一个虚,一個虛,세여자,Três Mulheres,ثلاثة نساء,ﺀﺎﺴﻧ ﺔﺛﻼﺛ,3 נשים,םישנ 3,Tre Kvinder,Tre kvinnor,Tre Kvinner,Tre donne,Drie vrouwen,3人の女性,ผู้หญิงสามคน (Three Women),Három Nő,,,,,,,,Три женщины,Drei Frauen,Tres dones,
Vector Art,Art vectoriel,Arte vectorial,Vektorkunst,Vektorkunscht,向量艺术,向量藝術,벡터 아트,Arte Vetorial,فن الفيكتور,ﺭﻮﺘﻜﻴﻔﻟﺍ ﻦﻓ,אומנות וקטורית,תירוטקו תונמוא,Vektor Kunst,Vektorkonst,Vektorkunst,Arte vettoriale,Vector kunst,ベクターアート,เวกเตอร์ภาพศิลปะ (Vector Art),Vector Art,,,,,,,,Векторная графика,Vektorkunst,Art vectorial,
Water Colour,Aquarelle,Acuarela,Wasserfarbe,Wasserfarb,水彩风,水彩風,수채화,Aquarela,ألوان مائية,ﺔﻴﺋﺎﻣ ﻥﺍﻮﻟﺃ,צבע מים,םימ עבצ,Vandfarve,Vattenfärg,Akvarell,Acquerello,Waterverf,水彩風,สีน้ำ (Water Colour),Vízfesték,,,Χρώμα νερού,,,,,Акварель,Wosserforb,Aquarel·la,
1) Hot water is pouring out,1) Eau chaude en train de couler,1) Se está vertiendo agua caliente,1) Heißwasserausgabe im Gange,1) Heisswasseruusgab im Gang,1) 热水将注出,1) 熱水將注出,1) 온수를 받는 중 입니다.,1) Água quente está saindo,1) الماء الساخن يتدفق خارجاً,ﻖﻓﺪﺘﻳ ﻦﺧﺎﺴﻟﺍ ﺀﺎﻤﻟﺍ (١,1) מים חמים זורמים,םימרוז םימח םימ (1,1) Varmt vand løber ud,1) Det rinner varmt vatten,1) Varmt vann renner ut,1) L'acqua calda sta scorrendo,1) Heet water wordt uitgegeven,1) 給湯中,1) กำลังปล่อยน้ำร้อน,1) Forró víz ömlik,,,1) Τρέχει καυτό νερό,,,,,1) Идёт пролив горячей воды,1) Hoaßwosser kimmt,1) L’aigua calenta està rajant,
1) Hot water will pour out,2) Eau chaude sur le point de couler,1) Se verterá agua caliente,1) Heißwasserausgabe wird vorbereitet,1) Heisswasseruusgab wird vorbereitet,1) 热水即将注出,1) 熱水即將注出,1) 물흘리기를 시작합니다,1) Água quente vai sair,1) سيتدفق الماء الساخن خارجاً,ﻦﺧﺎﺴﻟﺍ ﺀﺎﻤﻟﺍ ﻖﻓﺪﺘﻴﺳ (١,1) מים חמים עומדים לזרום,םורזל םידמוע םימח םימ (1,1) Varmt vand vil løbe ud,1) Det kommer att rinna varmt vatten,1) Varmt vann vil renne ut,2) Acqua calda sul punto di scorrere,1) Heet water zal worden uitgegeven,1) 給湯中,1) เตรียมปล่อยน้ำร้อน,1) Forró víz fog ömleni,,,1) Θα τρέξει καυτό νερό,,,,,1) Пролив горячей воды,1) Hoaßwosser wird hergrichtet,1) L'aigua calenta rajarà,
2) Done,2) Terminé,2) Hecho,2) Abgeschlossen,2) Abgschlossä,2) 完成,2) 完成,2) 완료,2) Concluído,2) تم,ﻢﺗ (٢,2) סיום,םויס (2,2) Færdig,2) Färdigt,2) Ferdig,2) Finito,2) Klaar,2) 完了,2) เสร็จเรียบร้อย,2) Kész,,,2) Ολοκληρώθηκε,,,,,2) Готово,2) Abgschlossn,2) Fet,
"A final evolution of the classic lever machine style was to add a second spring. This helped work around a deficiency with single springs, namely that the top pressure achieved went down almost immediately, rather than being held.  The second spring required more arm muscle but is often considered the final perfection of the lever espresso style.","Une dernière évolution de la machine à levier classique a été l’ajout d’un second ressort. On contournait ainsi une déficience des machines à ressort unique, c’est-à-dire le fait que la pression maximale atteinte redescendait presque immédiatement au lieu d’être maintenue. Même si le second ressort exige une plus grande force musculaire, ce système est souvent considéré comme l'ultime perfection pour les machines à levier.",Una evolución final de las máquinas clásicas de levas fue añadir un segundo muelle. Esto permió evitar que la presión máxima obtenida se disipase casi inmediatamente en lugar de mantenerse. Este segundo muelle requiere mayor fuerza en los brazos pero es considerada a menudo como el paso definitivo en el perfeccionamiento de las máquinas de espresso a levas.,"Eine der letzten Entwicklungen im Stil der klassischen Hebelmaschine war, eine zweite Feder einzubauen. Das half, ein beim Gebrauch von lediglich einer Feder auftretendes Problem zu umgehen. Und zwar sank der maximal erreichbare Druck dabei sofort, anstatt auf einem konstanten Level gehalten zu werden. Auch wenn die zweite Feder mehr Armmuskeln braucht, wird sie dennoch oft als letzter Schliff der Handhebel-Espressomaschinen betrachtet.","Eini vu de letschtä Entwickligä bim Stil vu dr klassischä Hebelmaschinä isch der Iibuu vunerä zweitä Fäderä gsii. Das hät ghulfä, äs Problem wo bim Gebruuch vo nur einerä Fäderä uuftritt ds umgah.  Und zwar isch der maximal erreichbari Druck derbii sofort abgsunkä, anstatt ufemä konstantä Level ghaltä ds wärdä. Obwohls binerä zweitä Fäderä meh Armmusklä brucht, wird sie oft als letschtä Schliff vu dä Handhebel-Espressomaschinä aagseh.",经典拉杆机的最后一次演变，可以说是增加了第二个弹簧。这帮助解决了单弹簧的先天缺陷；即最高压力几乎是直式下降，而非线性的。虽然第二个弹簧需要更多的人手力量去拉动，但很多时候仍然被认为这是更完美的设计。,經典拉桿機的最後一次演變，可以說是增加了第二個彈簧。這幫助解決了單彈簧的先天缺陷；即最高壓力幾乎是直式下降，而非線性的。雖然第二個彈簧需要更多的人手力量去拉動，但很多時候仍然被認為這是更完美的設計。,레버 머신의 최종 혁신은 두 번째 스프링을 추가하는 것이었습니다. 이는 싱글 스프링의 부족한 점을 채워주는 역할을 합니다. 즉 최고압력이 즉각적으로 걸리게 되는 것이죠. 두 번째 스프링은 레버를 당기는데 좀 더 많은 힘이 들지만 머신에서 추출된 에스프레소의 완벽함을 더해줍니다.,"A evolução final do estilo clássico de máquina de alavanca foi a adição de uma segunda mola. Isso ajudou a contornar uma deficiência das molas únicas, que perdiam rapidamente a pressão máxima alcançada, em vez de mantê-la. A segunda mola exigia mais força do braço, mas é frequentemente considerada a perfeição final do estilo de espresso por alavanca.",أما التطور النهائي لطريقة عمل آلة رفع الأسبريسو الكلاسيكية كان نوابض ثانوية. ساعد هذا على تخطي نقص العمل بنابض واحد فقط، تحديدا أعلى ضغط نستطيع الوصول اليه انخفض على الفور تقريبا، بدلا ان يكون ثابتا. النابض الثاني يتطلب المزيد من القوة العضلية للتحريك الذراع ولكن يعتبر ذلك للوصول لدرجة الكمال للنمط الأسبريسو., .ﻮﺳﺮﺒﺳﻷﺍ ﻂﻤﻨﻠﻟ ﻝﺎﻤﻜﻟﺍ ﺔﺟﺭﺪﻟ ﻝﻮﺻﻮﻠﻟ ﻚﻟﺫ ﺮﺒﺘﻌﻳ ﻦﻜﻟﻭ ﻉﺍﺭﺬﻟﺍ ﻚﻳﺮﺤﺘﻠﻟ ﺔﻴﻠﻀﻌﻟﺍ ﺓﻮﻘﻟﺍ ﻦﻣ ﺪﻳﺰﻤﻟﺍ ﺐﻠﻄﺘﻳ ﻲﻧﺎﺜﻟﺍ ﺾﺑﺎﻨﻟﺍ  .ﺎﺘﺑﺎﺛ ﻥﻮﻜﻳ ﻥﺍ ﻻﺪﺑ ،ﺎﺒﻳﺮﻘﺗ ﺭﻮﻔﻟﺍ ﻰﻠﻋ ﺾﻔﺨﻧﺍ ﻪﻴﻟﺍ ﻝﻮﺻﻮﻟﺍ ﻊﻴﻄﺘﺴﻧ ﻂﻐﺿ ﻰﻠﻋﺃ ﺍﺪﻳﺪﺤﺗ ،ﻂﻘﻓ ﺪﺣﺍﻭ ﺾﺑﺎﻨﺑ ﻞﻤﻌﻟﺍ ﺺﻘﻧ ﻲﻄﺨﺗ ﻰﻠﻋ ﺍﺬﻫ ﺪﻋﺎﺳ .ﺔﻳﻮﻧﺎﺛ ﺾﺑﺍﻮﻧ ﻥﺎﻛ ﺔﻴﻜﻴﺳﻼﻜﻟﺍ ﻮﺳﺮﺒﺳﻷﺍ ﻊﻓﺭ ﺔﻟﺁ ﻞﻤﻋ ﺔﻘﻳﺮﻄﻟ ﻲﺋﺎﻬﻨﻟﺍ ﺭﻮﻄﺘﻟﺍ ﺎﻣﺃ,"האבולוציה האחרונה של מכונת המנוף הקלאסית היתה תוספת הקפיץ השני. זה עזר לפתור בעיות שעלו בעבודה עם קפיץ יחיד,  בעיקר הלחץ הגבוה שנפל כמעט מיד, ולא נשאר. עם הקפיץ הנוסף נדרשת הפעלת יותר כח בדריכתו, אבל לרוב תוספת הקפיץ נחשבת לליטוש הסופי של מכונת המנוף.",".ףונמה תנוכמ לש יפוסה שוטילל תבשחנ ץיפקה תפסות בורל לבא ,ותכירדב חכ רתוי תלעפה תשרדנ ףסונה ץיפקה םע .ראשנ אלו ,דימ טעמכ לפנש הובגה ץחלה רקיעב  ,דיחי ץיפק םע הדובעב ולעש תויעב רותפל רזע הז .ינשה ץיפקה תפסות התיה תיסאלקה ףונמה תנוכמ לש הנורחאה היצולובאה","Den seneste udvikling af den klassiske levermaskine var at tilføje en ekstra fjedder. Dette afhjalp problemet med kun én fjrder, nemlig at maks trykket der opnås nærmest falder med det samme igen i stedet for at blive holdt. Den ekstra fjedder kræver flere armkræfter men er ofte omtalt til at være den ""endelige"" perfektion af en lever espresso.","Den slutliga evolutionen av den klassiska handdrivna maskinen var att lägga till en andra fjäder. Detta resulterade i att man kunde arbeta runt problematiken som fanns med bara en fjäder, att det högsta trycket uppnåddes direkt istället för att hållas kvar hela tiden. Den andra fjädern krävde mer kraft men anses vara det som gjorde de handdrivna maskinerna så bra.","Den nyeste utviklingen av den klassiske hendelmaskinen var å legge til en ekstra fjær. Dette løste problemet med kun én fjær, nemlig at makstrykket som oppnås nesten faller med en gang i stedet for å holdes. Den ekstra fjæren krever mer armkraft men omtales ofte som den ""endelige"" perfeksjon av en hendel-espresso.","Un’ultima evoluzione della classica macchina a leva è stata l’aggiunta di una seconda molla. In questo modo si ovviava a un limite delle macchine a molla singola, ovvero il fatto che la pressione massima raggiunta scendesse quasi immediatamente invece di essere mantenuta. Anche se la seconda molla richiede una maggiore forza muscolare, questo sistema è spesso considerato il massimo della perfezione per le macchine a leva.","Een laatste ontwikkeling in de hefboommachine was de toevoeging van een tweede veer. Een verbetering t.o.v. de enkele veer. De maximale druk met een enkele  veer loopt van af de start terug. Bij de dubbele veer wordt de maximale druk langer vastgehouden.Het gebruik van de tweede veer vergt meer spierkracht, maar wordt vaak beschouwd als de laatste perfectie van de hefboommachine.",,วิวัฒนาการสุดท้ายของเครื่องชงคันโยกมือแบบดั้งเดิมคือการเพิ่มสปริงที่สองเข้าไป การเพิ่มสปริงนี้ช่วยลดความบกพร่องของการทำงานด้วยสปริงเดียว กล่าวคือความดันเกือบจะลดลงทันที ไม่ค้างเอาไว้เมื่อถึงความดันสูงสุด สปริงชิ้นที่สองทำให้ต้องใช้แรงแขนเพิ่มขึ้นแต่ถูกนำมาใช้บ่อยๆเพราะคำนึงถึงความสมบูรณ์แบบของเครื่องชงแบบคันโยก,,,,,,,,,"Результатом эволюции классической леверной кофемашины стало добавление второй пружины. Это помогло решить недостаток одинарных прожун, а именно, что достигнутое максимальное давление почти сразу же уменьшалось, а не удерживалось. Вторая пружина требует больше физических усилий, но считается более совершенным вариантом леверного эспрессо.","Eine der letzten Entwicklungen im Stil der klassischen Hebelmaschine war, eine zweite Feder einzubauen. Das half, ein beim Gebrauch von lediglich einer Feder auftretendes Problem zu umgehen. Und zwar sank der maximal erreichbare Druck dabei sofort, anstatt auf einem konstanten Level gehalten zu werden. Auch wenn die zweite Feder mehr Armmuskeln braucht, wird sie dennoch oft als letzter Schliff der Handhebel-Espressomaschinen betrachtet.","La evolució final de la màquina clàssica de palanca va consistir en afegir una segona molla. Això va ajudar a millorar un problema que tenien els sistemes de molla simple: la pressió inicalment aconseguida es perdia gairebé immediatament, en lloc de mantenir-se. La adicció d'una segona molla requereix més força d'aplicació, però sovint es considera la perfecció final de l’espresso de palanca.",
