en,fr,es,de,de-ch,zh-hans,zh-hant,kr,pt,ar,arb,he,heb,da,sv,no,it,nl,jp-unfinished,th-unfinished,hu-unfinished,pl-unfinished,sk-unfinished,el-unfinished,cs-unfinished,ro-unfinished,hi-unfinished,tr-unfinished,ru-unfinished,de-oe unfinished,ca-unfinished,fi-unfinished
2) Hot water will pour,2) Verser de l'eau chaude,2) Vertido de agua caliente,2) Heißwasser ausgeben,2) Heisswasser uusgih,2) 热水即将注出,2) 熱水即將注出,2) 온수를 사용합니다,2) O Fluxo de entrada de água quente vai começar,2) سيتدفّق ماء ساخن,ﻦﺧﺎﺳ ﺀﺎﻣ ﻖﻓﺪﺘﻴﺳ (٢,2) מים חמים יימזגו,וגזמיי םימח םימ (2,2) Varmt vand vil løbe,2) Varmvatten kommer att rinna,2) Varmt vann vil renne,2) Verrà erogata acqua calda,2) Warm water gaat stromen,2）給湯,2) เตรียมปล่อยน้ำร้อน,2) Forró víz fog folyni,2) Gorąca woda w przygotowaniu,2) Horúca voda bude vydávaná,2) Θα χυθεί καυτό νερό,,,,,2) Нальется горячая вода,2) Sieden preschtern,2) Es servirà aigua calenta,
2) Hot water will pour out,2) Versement d'eau chaude,2) Vertido de agua caliente,2) Heißwasser ausgeben,2) Heisswasser uusgih,2) 热水即将注出,2) 熱水即將注出,2) 온수를 사용합니다,2) O Fluxo de saída de água quente vai começar,2) سيتدفّق ماء ساخن خارجاً,ﺎﺟﺭﺎﺧ ﻦﺧﺎﺳ ﺀﺎﻣ ﻖﻓﺪﺘﻴﺳ (٢,2) מים חמים יישפכו,וכפשיי םימח םימ (2,2) Varmt vand vil løbe ud,2) Varmvatten kommer att rinna ut,2) Varmt vann vil renne ut,2) Verrà erogata acqua calda,2) Warm water zal worden uitgegeven,2）給湯,2) เตรียมปล่อยน้ำร้อนออกมา,2) Forró víz ki fog folyni,2) Nalewam gorącą wodę,2) Horúca voda bude vytekať,2) Θα χυθεί καυτό νερό,,,,,2) Прольется горячая вода,2) Sieden preschtern,2) Es servirà aigua calenta,
2) Steam your milk,2) Monter votre lait,2) Vaporice la leche,2) Milch aufschäumen,2) Milch ufschümä,2) 为鲜奶注入蒸汽,2) 為鮮奶注入蒸汽,2) 스팀을 시작합니다,2) Vaporize seu leite,2) بخّر الحليب,ﺐﻴﻠﺤﻟﺍ ﺮﺨﺑ (٢,2) הקצף את החלב,בלחה תא ףצקה (2,2) Skum din mælk,2) Skumma mjölk,2) Skum melken din,2) Monta il latte,2) Stoom de melk,2) スチーム,2) เป่า (สตีม) นมด้วยไอร้อน,2) Gőzöld a tejet,2) Spień mleko,2) Spieňaj mlieko,2) Φτιάξε Αφρόγαλα,,,,,2) Взбейте молоко,2) Milch foamen,2) Escuma la llet,
2) Steaming your milk,2) Montage du lait,2) Vaporizando la leche,2) Aufschäumen der Milch,2) Ufschümig vu dr Milch,2) 正在为鲜奶注入蒸汽,2) 正在為鮮奶注入蒸汽,2) 우유 스팀,2) Vaporizando seu leite,2) تبخير الحليب,ﺐﻴﻠﺤﻟﺍ ﺮﻴﺨﺒﺗ (٢,2) מקציף חלב,בלח ףיצקמ (2,2) Skummer din mælk,2) Skummar mjölk,2) Skummer melken din,2) Sto montando il latte,2) De melk wordt gestoomd,2) スチーム中,2) กำลังเป่า (สตีม) นมด้วยไอร้อน,2) Tej gőzölése,2) Spienianie mleka,2) Spieňanie mlieka,2) Άφρισμα γάλακτος,,,,,2) Молоко взбивается,2) auffoamen dr Milch,2) Escumant la llet,
2) The group head will pour hot water out,2) Nettoyage du groupe sous peu,2) El grupo verterá agua caliente,2) Reinigung im Gange,2) Reinigung im Gang,2：热水即将由冲煮头泻出,2：熱水即將由沖煮頭瀉出,2) 물 흘리기를 시작합니다,2) O grupo vai liberar o fluxo de saída de água quente,2) رأس الآلة سيسكب الماء الساخن خارجاً,ﺎﺟﺭﺎﺧ ﻦﺧﺎﺴﻟﺍ ﺀﺎﻤﻟﺍ ﺐﻜﺴﻴﺳ ﺔﻟﻵﺍ ﺱﺃﺭ (٢,2) מים חמים ייצאו מראש החליטה,הטילחה שארמ ואציי םימח םימ (2,2) Gruppehovedet vil give varmt vand,2) Varmt vatten ur grupphuvudet,2) Gruppehodet vil gi varmt vann,2) Il gruppo erogherà acqua calda,2 ) Er komt warm water uit de groep,2）グループから給湯,2) จะจ่ายน้ำจากหัวชง (หัวกรุ๊ป),2) A fejből forró víz fog jönni,2) Z grupy poleci gorąca woda,2) Z grupy bude vytekať horúca voda,2) Θα χυθεί καυτό νερό από το group,,,,,2) Горячая вода польется из группы,2) Reinigung im Gange,2) El grup servirà aigua calenta,
3: decline,3: décliner,3: descenso,3: Rückgang,3: Rückgang,3：降压,3：降壓,3: 감소,3: declínio,3: انخفاض,ﺽﺎﻔﺨﻧﺍ :٣,3: ירידה,הדירי :3,3: Reducer,3: Reducera,3: Reduser,3: Diminuzione,3: reduceren,3：降圧,3) ลดลง,3: Nyomás csökkentés,3: Redukcja ciśnienia,3: Pokles tlaku,3: ελάττωση,,3: Reducere presiune,,3: Düşüş,3: Снижение,3: Reduktion,3: disminució,3: Vähennä
3: Duration,3: Durée,3: Duración,3: Dauer,3: Duur,3：时距,3：時距,3: 총 시간/물양,3: Duração,3: مُدَّة,ﺓﺪﻣ :٣,3: משך זמן,ןמז ךשמ :3,3: Varighed,3: Varaktighet,3: Varighet,3: Durata,3: Duur,3：経過時間,3) ระยะเวลา,3: Időtartam,3: Czas trwania,3: Trvanie,3: Διάρκεια,,,,,3: Длительность,3: Dauer,3: Durada,
3) Done,3) Terminé,3) Terminado,3) Fertig,3) Fertig,3）完成,3）完成,3) 종료,3) Concluído,3) تمّ,ﻢﺗ (٣,3) סיים,םייס (3,3) Færdig,3) Färdig,3) Ferdig,3) Fatto,3) Voltooid,3）完了,3) ทำเสร็จ,3) Kész,3) Gotowe,3) Hotovo,3) Έτοιμο,3) Hotovo,,,,3) Готово,3) Fertig,3) Fet,
3) Make amazing latte art,3) Faites de sublimes latte art,3) Haga un latte art increíble,3) Tolle Latte Art machen,3) Kuuli Latte Art machä,3) 造个漂亮的拉花,3) 造個漂亮的拉花,3) 스팀이 종료되었습니다,3) Faça um latte art incrível,3) إصنع رسم لاتيه مذهل,ﺔﻠﻫﺬﻣ ﻪﻴﺗﻻ ﺓﻮﻬﻗ ﻊﻨﺻﺇ (٣,3) צייר בחלב יצירת אומנות,תונמוא תריצי בלחב רייצ (3,3) Lav fantastisk latte art,3) Skapar fantastisk latteart,3) Lag fantastisk latte art,3) Crea una fantastica latte art,3) Maak mooie latte art,3）素晴らしいラテアートを,3) ทำลาเต้อาร์ทชั้นเยี่ยม,3) Csinálj fantasztikus latte artot,3) Stwórz cudowne Latte Art,3) Vytvor úžasný latte art,3) Φτιάξε φανταστικό latte art,3) Vytvoř úžasný latte art,,,,3) Нарисуйте латте-арт,3) Tolle Latte Art machen,3) Feu un art de latte sorprenent,
3) Your cup is now warm,3) Votre tasse est chaude,3) Su taza ya está caliente,3) Ihre Tasse ist jetzt warm,3) Ihri Tassä isch jetzt warm,3) 杯子预热完毕,3) 杯子預熱完畢,3) 컵이 예열되었습니다,3) Sua xícara está aquecida agora,3) كوبك الآن دافئ,ﺊﻓﺍﺩ ﻥﻵﺍ ﻚﺑﻮﻛ (٣,3) הכוס חמה,המח סוכה (3,3) Din kop er varm nu,3) Din kopp är varm nu,3) Koppen din er varm nå,3) La tua tazza è calda,3) Het kopje is nu warm,3）カップの予熱完了,3) แก้วของคุณอุ่นแล้ว,3) A csészéd felmelegedett,3) Twoja filiżanka jest już podgrzana,3) Tvoja šálka je horúca,3) Το φλιτζάνι έχει ζεσταθεί,,,,,3) Чашки прогреты,3) Ihre Tasse ist jetzt warm,3) La tassa és calenta.,
3) Your group head is now clean,3) Nettoyage du groupe terminé,3) El grupo está limpio,3) Ihre Brühgruppe ist jetzt sauber,3) Ihrä Brüähchopf isch jetzt suuber,3：冲煮头清洗完毕,3：沖煮頭清洗完畢,3) 물 흘리기가 완료되었습니다,3) O grupo está limpo agora,3) إن رأس الآلة نظيف الان,ﻥﻻﺍ ﻒﻴﻈﻧ ﺔﻟﻵﺍ ﺱﺃﺭ ﻥﺇ (٣,3) ראש החליטה נקי כעת,תעכ יקנ הטילחה שאר (3,3) Gruppehovedet er nu renset,3) Grupphuvudet är rent,3) Gruppehodet er nå renset,3) Il gruppo è pulito,3) De groep is nu schoon,3）グループのクリーニング完了,3) หัวชง (หัวกรุ๊ป) ของคุณสะอาดแล้ว,3) A fej tiszta,3) Grupa została oczyszczona,3) Vaša grupa je teraz čistá,3) Η κεφαλή του γκρουπ έχει καθαριστεί,,,,,3) Заварочная группа очищена,3) Ihre Brühgruppe ist jetzt sauber,3) El grup és net,
4: Move on if...,4: Continuer si...,4: Continuar si...,"4: Weiter springen, wenn...","4: Wiiter springe, wänn...",4：如...继续,4：如...繼續,4: 다음 단계 진행 조건,4: Avance se...,4: أكمل إذا,ﺍﺫﺇ ﻙﺮﺤﺗ :٤,4: המשך אם,םא ךשמה :4,4: Fortsæt hvis...,4: Fortsätt om...,4: Fortsett hvis...,4. Continua se...,4: Ga door als...,4：次ステップへの移行条件,4) ดำเนินการต่อถ้า...,"4: Tovább, ha...","4: Kontynuuj, jeśli...",4: Pokračuj ak...,4: Προχώρα εάν…,4: Pokračuj pokud ...,,,,"4: Перейти дальше, если","4: Weiter springen, wenn...",4: Continua si...,
4: stop at weight:,4: Poids final,4: Parar en el peso,4: Zielgewicht,4: Zielgwicht,4：止于此重量,4：止於此重量,종료 무게 설정,4: pare ao atingir o peso:,4: توقف عند الوزن:,:ﻥﺯﻮﻟﺍ ﺪﻨﻋ ﻒﻗﻮﺗ :٤,4: עצור במשקל:,:לקשמב רוצע :4,4: Stop ved vægt,4: avsluta vid vikt,4: Stopp ved vekt,4. Peso desiderato,4: Stop op gewicht,4：停止重量設定,4) หยุดที่น้ำหนัก:,4: állj meg a következő súlynál,4: zatrzymaj przy wadze:,4: zastav pri hmotnosti:,4: σταμάτημα σε βάρος:,4: zastav při hmotnosti,,,,4: Остановить на,4: Zielgewicht,4: Pes final:,
Stop at weight,Poids souhaité,Peso final,Zielgewicht,Zielgwicht,止于此重量,止於此重量,종료 무게 설정 ,Pare ao atingir o peso,توقف عند الوزن,ﻥﺯﻮﻟﺍ ﺪﻨﻋ ﻒﻗﻮﺗ,עצירה במשקל,לקשמב הריצע,Stop ved vægt,avsluta vid vikt,Stopp ved vekt,Peso desiderato,Stop op gewicht,停止重量設定,หยุดที่น้ำหนัก,Megállítás súly szerint,zatrzymaj przy wadze,zastav pri hmotnosti,Σταμάτημα σε βάρος,zastav při hmotnosti,,,,Остановиться на,Zielgewicht,Atura al pes,
Acacia,Acacia,Acacia,Akazie,Akaziä,相思树花,相思樹花,아카시아,Acácia,أكاسيا,ﺎﻴﺳﺎﻛﺃ,עץ שיטה,הטיש ץע,Akacie,Akacia,Akasie,Acacia,Acacia,アカイア,อาเคเชีย (Acacia),Acacia,Akacja,Acacia,ακακία,Akácie,,,,Акация,Akazie,Acàcia,
Acai berry,Açaï (Pinot),Baya de acai,Acai-Beere,Akai-Beeri,巴西莓,巴西苺,아사히 베리,Açai,توت الاساي,ﻱﺎﺳﻻﺍ ﺕﻮﺗ,אסאי,יאסא,Acaibær,Acaibär,Acaibær,Bacca di acaì,Acai vrucht,アサイーベリー,อาซาอิ เบอร์รี (Acai berry),Acai bogyó,Jagoda Acai,Acai berry,ακάι μπέρι,Acai berry,,,,Асаи,Acai-Beere,Fruit d'Açaí,
Acerola,Acérola,Acerola,Acerola,Acerola,针叶樱桃,針葉櫻桃,아세롤라,Acerola,كرز هندي,ﻱﺪﻨﻫ ﺯﺮﻛ ,אסרולה (דובדבן ברבדוס),(סודברב ןבדבוד) הלורסא,Acerola,Acerola,Acerola,Acerola,Acerola,アセロラ,อะเซโรล่า เชอรี (Acerola),Acerola,Acerola,Acerola,Ασερόλα,Acerola,,,,Ацерола,Acerola,Acerola,
Advanced,Avancé,Avanzado,Erweitert,Erwiiteret,高阶,高階,세부설정,Avançado,متقدم,ﻡﺪﻘﺘﻣ,מתקדם,םדקתמ,Avanceret,Avancerat,Avansert,Avanzato,Geavanceerd,アドバンス,ขั้นสูง,Haladó,Zaawansowane,Pokročilý,Προχωρημένες,Pokročilý,,,,Расширенный,Erweitert,Avançat,
ADVANCED,AVANCÉ,AVANZADO,ERWEITERT,ERWIITERET,进阶,進階,세부설정,AVANÇADO,متقدم,ﻡﺪﻘﺘﻣ,מתקדם,םדקתמ,AVANCERET,AVANCERAT,AVANSERT,AVANZATO,GEAVANCEERD,アドバンス,ขั้นสูง,HALADÓ,ZAAWANSOWANE,POKROČILÉ,ΠΡΟΧΩΡΗΜΕΝΕΣ,,,,,РАСШИРЕННЫЙ,ERWEITERT,AVANÇAT,
Advanced profile,Profil avancé,Perfil avanzado,Erweitertes Profil,Erwiiterets Profil,高阶配方,高階配方,세부설정 프로파일,Perfil avançado,نمط متقدم,ﻡﺪﻘﺘﻣ ﺮﻬﻈﻣ,פרופיל מתקדם,םדקתמ ליפורפ,Avanceret profil,Avancerad profil,Avansert profil,Profilo avanzato,Geavanceerd profiel,アドバンス プロファイル,ข้อมูลส่วนตัวโดยละเอียด,Haladó profil,Profil zaawansowany,Pokročilý profil,προχωρημένο προφίλ,,,,,Расширенный профиль,Erweitertes Profil,Perfils avançats,
Almond,Amande,Almendra,Mandel,Mandlä,杏仁,杏仁,아몬드,Amêndoa,لوز,ﺯﻮﻟ,שקד,דקש,Mandel,Mandel,Mandel,Mandorla,Amandel,アーモンド,อัลมอนด์,Mandula,Migdał,Mandľa,Αμύγδαλο,Mandle,,,,Миндаль,Mandel,Ametlla,
Aloe,Aloes,Aloe,Aloe,Aloe,芦荟,蘆薈,알로에,Aloe vera,الصبّار,ﺭﺎﺒﺼﻟﺍ,אלו-ורה,הרו-ולא,Aloevera,Aloevera,Aloevera,Aloe,Aloë,アロエ,ว่านหางจระเข้,Aloé,Aloes,Aloe,Αλόη,Aloe,,,,Алоэ,Aloe,Àloe,
AM/PM,AM/PM,AM/PM,AM/PM,AM/PM,上午/下午,上午/下午,AM/PM,AM/PM,صباحاً/مساءً,ﻅ.ﺏ/ﻅ.ﻕ,AM/PM,AM/PM,AM/PM,AM/PM,AM/PM,AM/PM,AM/PM,AM/PM,AM/PM,AM/PM,Format 12-godzinny,AM/PM,π.μ. / μ.μ.,AM/PM,,,gündüz/öğleden sonra,AM/PM,AM/PM,AM/PM,12h/24h
Amber,Ambre,Ámbar,Johanniskraut,Johannischrut,琥珀,琥珀,엠버,Âmbar,كهرمان,ﻥﺎﻣﺮﻬﻛ,ענבר,רבנע,Perikon,Bärnsten,Perikum,Ambra,Amber,アンバー,เหลืองอำพัน,Borostyán,Bursztyn,Jantár,Κεχριμπάρι,Amber,,,,Амбра,Johanniskraut,Ambre,
App,App,App,App,App,程式,程式,앱,App,تطبيق,ﻖﻴﺒﻄﺗ,אפליקציה,היצקילפא,App ,App,App,App,App,アプリ,แอพ,App,Aplikacja,Appka,Εφαρμογή,,,,,Приложение,App,App,
App:,App,App,App,App,程式,程式,App 사용시 ,App:,تطبيق:,:ﻖﻴﺒﻄﺗ,אפליקציה:,:היצקילפא,App,App,App,App,App,アプリ,แอพ:,Alkalmazás,Aplikacja,Aplikácia,Εφαρμογή,Aplikace,Aplicație,,uygulama,Приложение:,App,App:,Sovellus
Apple,Pomme,Manzana,Apfel,Öpfel,苹果,蘋果,사과,Apple,تفاح,ﺡﺎﻔﺗ,תפוח,חופת,Æble,Äpple,Eple,Mela,Appel,リンゴ,แอปเปิล,Alma,Jabłko,Jablko,Μήλο,Jablko,,,,Яблоко,Epfl,Poma,
Apricot,Abricot,Albaricoque,Aprikose,Aprikosä,杏子,杏子,살구,Damasco,مشمش,ﺶﻤﺸﻣ,משמש,שמשמ,Abrikos,Aprikos,Aprikos,Albicocca,Abrikoos,アプリコット,แอพริคอต,Sárgabarack,Morela,Marhuľa,Βερίκοκο,Meruňka,,,,Абрикос,Aprikose,Albercoc,
Arrowroot,Marante,Tapioca,Pfeilwurz,Pfiilwurz,葛根,葛根,칡,Mandioca,نبات الاروروت,ﺕﻭﺭﻭﺭﻻﺍ ﺕﺎﺒﻧ,מרנטת הקנה,הנקה תטנרמ,Pilerod,Arrowrot,Pilerot,Fecola di Maranta,Pijlwortel,クズウコン,มันสาคู,Nyílgyökér,Maranta Trzcinowa,Arrowroot,Αραρούτι,Arrowroot,,,,Арроурут,Pfeilwurz,Tapioca,
Auto off:,Veille auto,Apagado en,Abschaltung in,Abschaltig i,自动关闭,自動關閉,자동 종료,Desligamento automático,غلق تلقائي,ﻲﺋﺎﻘﻠﺗ ﻖﻠﻏ,כיבוי אוטומטי:,:יטמוטוא יוביכ,Auto sluk,Automatisk avstängning,Auto av,Spegni dopo,Auto uit,自動オフ,ปิดอัตโนมัติ:,Automatikus kikapcsolás,Automatyczne wyłączanie,Automatické vypnutie,Αυτόματη απενεργοποίηση,Automatické vypnutí,Oprire Automată,,Oto kapanma,Авто-выключение:,Obschaltung a,Apaga automàticament:,Automaattinen virta pois
Auto stop:,Arrêt auto.,Auto stop,Auto-Stopp,Automatischi Abschaltig,自动停止,自動停止,자동 정지,Parada automátca,توقف تلقائي,ﻲﺋﺎﻘﻠﺗ ﻒﻗﻮﺗ,עצירה אוטומטית:,:תיטמוטוא הריצע,Auto stop,Automatisk stopp,Auto stopp,Spegnimento Automatico,Auto stop,自動ストップ,หยุดอัตโนมัติ:,Automatikus megállítás,Auto stop,Auto stop,Αυτόματο σταμάτημα,Automatické zastavení,,,otomatik dur,Авто-стоп:,Auto-Stopp,Atura automàticament:,Automaattinen lopetus
AUTO-OFF,MISE EN VEILLE,AUTOAPAGADO,SELBSTABSCHALTUNG,SÄLBSCHTABSCHALTIG,自动关闭,自動關閉,자동 종료,DESLIGAMENTO AUTOMÁTICO,غلق-تلقائي,ﻲﺋﺎﻘﻠﺗ-ﻖﻠﻏ,כיבוי אוטומטי,יטמוטוא יוביכ,AUTO-SLUK,AUTOMATISK AVSTÄNGNING,AUTO-AV,AUTO-SPEGNIMENTO,AUTO-UIT,自動オフ,ปิดอัตโนมัติ,Automatikus kikapcsolás,AUTO-OFF,AUTO-OFF,ΑΥΤΟΜΑΤΗ-ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ,AUTO-OFF,,,,АВТО-ВЫКЛЮЧЕНИЕ,SELBSTABSCHALTUNG,APAGAT AUTOMÀTIC,
